side,interval_bin,n_events,n_subjects,mean_spikes_per_touch,ci_low,ci_high
previous,<20,194,19,0.3355816010614772,0.14431913116123643,0.5557684038527692
previous,20-29,397,21,0.32558763987335415,0.20137717441288874,0.46723373848373845
previous,30-49,2299,21,0.34088835369022547,0.2117711069166516,0.48410487275078234
previous,50-99,4191,21,0.3285967466317426,0.2174221830242783,0.45736944515955325
previous,100-249,5037,21,0.37048740141652814,0.2515210675606338,0.495191369192905
previous,≥250,1574,21,0.4371147970944614,0.26984566168755125,0.6318927792347644
following,<20,196,20,0.32808392995892993,0.1588805552086802,0.5137275311494058
following,20-29,384,21,0.5001849111623549,0.26414837230438737,0.7886820378869247
following,30-49,2365,21,0.5210004104614242,0.33269235572256006,0.7208452699708884
following,50-99,4297,21,0.43470629805860383,0.29069465762364993,0.5861936886568319
following,100-249,5541,21,0.4082407388465504,0.27583526298209116,0.5612383264242233
following,≥250,2042,21,0.4613743141502755,0.27317618808827915,0.722297920278092
